labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
FL1000701,15818847,S,51334,50608,S10_007,5460,,0,13,0,13,Ap,517268,1984-FL019-S10_007,Hurricane,,"Aquic Grossarenic Alorthods, sandy, siliceous, thermic.",528562,S1984-FL019-S10_007,4/15/2011 0:00,29.984169,-81.7408981,US,United States,FL,Florida,FL019,Clay,155,Southern Florida Flatwoods,FL019,"Clay County, Florida",NASIS updated 5/4/2020 8:44:54 AM,4/23/2016 6:15,FS,0.47,6N2,0.1,6O2,0.01,6Q2,,,,,1.28,6A1a,3.3,8C1e,3.9,8C1a,,,,,,,,,,FS,3A1a1a,0.9,2.3,,,,
MU052141,15794788,S,47614,46900,M94E_E07,5429,,43,53,43,53,Bt22,1367151,1994MO203923M,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Typic Hapludalfs",96221,1994MO203923M,7/26/1994 0:00,37.1461528,-91.0959556,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO613,"Shannon County, Missouri, North & West Parts",NASIS updated 5/4/2020 8:40:17 AM,10/18/2019 14:35,l,1,4B1a1,0.4,4B1a1,0.2,4B1a1,,,,,0.2,6A2d,4.9,8C1e,5.4,8C1a,,,,,,,50,,,l,3A1a1a,11.3,48.3,40.4,,,
88P02667,94890,S,15022,15022,88P0524,1769,,10,28,10,28,Ap2,125009,88NC159001,Hiwassee,series,"Clayey, kaolinitic, thermic Typic Kanhapludults",123265,S1988NC159001,5/1/1988 0:00,35.6958351,-80.6194458,US,United States,NC,North Carolina,NC159,Rowan,136,Southern Piedmont,NC159,"Rowan County, North Carolina",NASIS updated 5/4/2020 8:20:43 AM,4/24/2016 14:12,cl,5.24,6N2e,1.9,6O2d,0.54,6Q2b,,,0.102,6B3a,1.07,6A1c,6.2,4C1a2a,6.6,4C1a2a,,,,,,,83,,10,cl,3A1a1a,37.9,24.9,37.2,2,1.74,4A1h
40A37000,34921,S,4619,4619,40A4878,1,55345,74,135,74,100,Bm2,102253,S1954KY011004,Leadvale,series,,102270,S1954KY011004,2/1/1954 0:00,,,US,United States,KY,Kentucky,KY011,Bath,,,KY011,"Bath County, Kentucky",NASIS updated 5/4/2020 8:05:40 AM,4/22/2016 17:03,sil,0.1,6N2d,2,6O2b,0.1,6Q2a,,,,,0.13,6A1a,,,4.8,8C1a,,,,,,,,,,sil,3A1a1a,19.7,76.7,3.6,0,,
FL4500505,15819077,S,51369,50643,S45_005,5460,,71,104,71,100,Bw4,517891,1984-FL089-S45_005,Foxworth,,"Typic Quartzipsamments, thermic, coated",529169,S1984-FL089-S45_005,4/15/2011 0:00,30.7123108,-81.6085968,US,United States,FL,Florida,FL089,Nassau,153B,Tidewater Area,FL089,"Nassau County, Florida",NASIS updated 5/4/2020 8:45:48 AM,4/24/2016 14:26,FS,0.03,6N2,0.02,6O2,0,6Q2,,,,,0.08,6A1a,4.5,8C1e,4.9,8C1a,,,,,,,,,,FS,3A1a1a,2.6,1.2,,,,
06N04083,207642,S,34262,34065,06N0934,4949,S06GA251-001-2,26,56,26,56,E,206097,S2006GA251001,Fuquay,series,"Loamy, kaolinitic, thermic Arenic Plinthic Kandiudults",337263,S2006GA251001-Fuquay-001,7/28/2006 0:00,32.6811104,-81.5719452,US,United States,GA,Georgia,GA251,Screven,153A,Atlantic Coast Flatwoods,GA251,"Screven County, Georgia",NASIS updated 5/4/2020 7:44:04 AM,4/23/2016 6:08,s,0.14,4B1a1a,0,4B1a1a,0.07,4B1a1a,0.13,4H2a,0.033,4H2a,,,4.3,4C1a2a,4.9,4C1a2a,,,,,,,40,0.1,4,s,3A1a1a,2.8,9,88.2,0,1.81,DbWR1
40A37782,35703,S,4740,4740,40A4999,1,7726,13,23,13,23,B1,105886,S1955TN077003,Lexington,series,,105903,S1955TN077003,4/5/1955 0:00,35.7122231,-88.3808365,US,United States,TN,Tennessee,TN077,Henderson,,,TN077,"Henderson County, Tennessee",NASIS updated 5/4/2020 8:05:47 AM,5/14/2019 17:25,sicl,6.4,6N2b,2.6,6O2b,0.3,6Q2a,,,,,0.25,6A1a,,,5.8,8C1a,,,,,,,82,,,sicl,3A1a1a,28.7,67,4.3,0,,
98P00338,150013,S,23494,23494,98P0047,3178,,5,23,5,23,Ap2,109005,97VA033006,WICKHAM,series,,108991,S1997VA033006,10/7/1997 0:00,,,US,United States,VA,Virginia,VA033,Caroline,133A,Southern Coastal Plain,VA033,"Caroline County, Virginia",NASIS updated 5/4/2020 8:29:27 AM,4/24/2016 14:12,l,4.44,6N2e,1.58,6O2d,0.36,6Q2b,0.72,6A2e,,,,,5.9,4C1a2a,6.3,4C1a2a,,,,,,,84,0.7,,l,3A1a1a,20.7,45.3,34,0,,
90P06107,108530,S,17316,17316,90P1001,2176,,0,18,0,18,A,126794,90LA011013,Ruston,taxadjunct,"Fine-loamy, siliceous, semiactive, thermic Typic Paleudalfs",125050,S1990LA011013,8/1/1990 0:00,30.8419437,-93.4877777,US,United States,LA,Louisiana,LA011,Beauregard,133B,Western Coastal Plain,LA011,"Beauregard Parish, Louisiana",NASIS updated 5/4/2020 8:23:07 AM,4/22/2016 22:33,ls,1.17,6N2e,0.24,6O2d,0.12,6Q2b,,,0.037,6B3a,0.82,6A1c,4.7,4C1a2a,5.3,4C1a2a,,,,,,,58,,,ls,3A1a1a,4.9,15.7,79.4,,1.49,4A1h
MU012703,15760844,S,42515,41801,M9811916,5397,,46,69,46,69,Bt1,95055,1998MO119184,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",95115,1998MO119184,2/2/1998 0:00,36.7382389,-94.1211028,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:42:03 AM,7/25/2019 13:05,SICL,3.6,6N2,2.4,6O2,0.4,6Q2,,,,,0.2,6A2d,4.4,8C1e,5.1,8C1a,,,,,,,53,,,SICL,3A1a1a,31.9,61.1,7,,,
FL4502105,15819447,S,51428,50702,S45_021,5460,,68,109,68,100,Bw,517907,1985-FL089-S45_021,Sapelo,,"Ultic Alaquods, sandy, siliceous, thermic.",529185,S1985-FL089-S45_021,4/15/2011 0:00,30.6002007,-81.7712326,US,United States,FL,Florida,FL089,Nassau,153A,Atlantic Coast Flatwoods,FL089,"Nassau County, Florida",NASIS updated 5/4/2020 8:45:49 AM,4/24/2016 14:26,LFS,0.03,6N2,0.01,6O2,0.01,6Q2,,,,,0.72,6A1a,4.2,8C1e,4.4,8C1a,,,,,,,,,,LFS,3A1a1a,7.4,4.1,,,,
MU043770,15799927,S,48397,47683,M9120918,5429,,38,53,38,53,Bw,92981,1991MO209102,Nixa,series,"Loamy-skeletal, siliceous, active, mesic Glossic Fragiudults",93041,1991MO209102,4/8/1991 0:00,36.7374678,-93.4479998,US,United States,MO,Missouri,MO209,Stone,116A,Ozark Highland,MO209,"Stone County, Missouri",NASIS updated 5/4/2020 8:38:38 AM,7/25/2019 13:05,si,3,4B1a1,0.4,4B1a1,0.2,4B1a1,,,,,0.2,6A2d,,,6.3,8C1a,,,,,,,70,,,si,3A1a1a,10.7,83.1,6.2,,,
82P01048,62708,S,9147,9147,82P0193,702,,61,76,61,76,Bh2,110649,S1981SC051008,Leon,series,"Sandy, siliceous, thermic Aeric Haplaquods",110635,S1981SC051008,6/1/1981 0:00,33.7918015,-79.0164261,US,United States,SC,South Carolina,SC051,Horry,153A,Atlantic Coast Flatwoods,SC051,"Horry County, South Carolina",NASIS updated 5/4/2020 8:14:13 AM,4/24/2016 14:26,s,0.02,6N2e,0,6O2d,0,6Q2b,,,0.011,6B3a,0.68,6A1c,3.7,4C1a2a,4,4C1a2a,,,,,,,21,,62,s,3A1a1a,0.4,3.3,96.3,0,,
FL6600604,15817130,S,51068,50342,S66_006,5460,,76,99,76,99,Bw3,518298,1979-FL131-S66_006,Troup,,"Grossarenic Kandiudults, loamy, kaolinitic, thermic.",529592,S1979-FL131-S66_006,4/15/2011 0:00,30.9640141,-86.2155914,US,United States,FL,Florida,FL131,Walton,133A,Southern Coastal Plain,FL131,"Walton County, Florida",NASIS updated 5/4/2020 8:46:14 AM,4/23/2016 6:15,LS,0.07,6N2,0.03,6O2,0,6Q2,,,,,0.07,6A1a,4.5,8C1e,5,8C1a,,,,,,,,,,LS,3A1a1a,5.4,7.3,,,,
FL6300903,15820045,S,51528,50802,S63_009,5460,,38,71,38,71,Bw2,518242,1986-FL125-S63_009,Bonneau,,"Arenic Paleudults, loamy, siliceous, subactive, thermic.",529536,S1986-FL125-S63_009,4/15/2011 0:00,29.9788418,-82.5499649,US,United States,FL,Florida,FL125,Union,138,North-Central Florida Ridge,FL125,"Union County, Florida",NASIS updated 5/4/2020 8:46:10 AM,4/23/2016 6:15,LFS,0.86,6N2,0.32,6O2,0.03,6Q2,,,,,0.33,6A1a,4.7,8C1e,5.4,8C1a,,,,,,,,,,LFS,3A1a1a,11.1,5.3,,,,
FL6103404,15821504,S,51804,51078,S61_034,5460,,59,70,59,70,Bh2,518380,YYYY-FL121-S61_034,Sapelo,,"Ultic Alaquods, sandy, siliceous, thermic",529674,YYYY-FL121-S61_034,4/15/2011 0:00,30.2164307,-82.920784,US,United States,FL,Florida,FL121,Suwannee,138,North-Central Florida Ridge,FL121,"Suwannee County, Florida",NASIS updated 5/4/2020 8:46:08 AM,4/23/2016 6:15,FS,0.1,6N2,0.1,6O2,0.1,6Q2,,,,,0.97,6A1a,,,5.3,8C1a,,,,,,,,,,FS,3A1a1a,1.3,8.4,,,,
86P04489,86135,S,13414,13414,86P0742,1464,,27,39,27,39,A3,123585,86NC113022,Tuckasegee,series,"Fine-loamy, mixed, superactive, mesic Andic Haplumbrepts",121841,S1986NC113022,7/1/1986 0:00,35.0580559,-83.4649963,US,United States,NC,North Carolina,NC113,Macon,130,Blue Ridge,NC113,"Macon County, North Carolina",NASIS updated 5/4/2020 8:19:03 AM,4/24/2016 14:12,fsl,0.3,6N2e,0.07,6O2d,0.07,6Q2b,,,0.206,6B3a,3.4,6A1c,4.6,4C1a2a,5,4C1a2a,,,,,,,3,,17,fsl,3A1a1a,10.4,31.1,58.5,16,0.97,4A1h
MU011949,15760103,S,42411,41697,M9315321,5397,,53,84,53,84,Bt2,86644,1993MO153021,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",86882,1993MO153021,7/8/1993 0:00,36.5099983,-92.4344406,US,United States,MO,Missouri,MO153,Ozark,116A,Ozark Highland,MO153,"Ozark County, Missouri",NASIS updated 5/4/2020 8:39:35 AM,7/25/2019 13:05,SIL,3.1,6N2,1.6,6O2,0.2,6Q2,,,,,0.2,6A2d,4.5,8C1e,5.4,8C1a,,,,,,,61,,,SIL,3A1a1a,19.5,57.7,22.8,,,
MU056373,15792849,S,47347,46633,M9617905,5429,,48,69,48,69,Bt1,95798,1996MO179005M,Nixa,taxadjunct,"Loamy-skeletal, siliceous, active, mesic Glossic Fragiudults",97029,1996MO179005M,5/23/1996 0:00,37.5853222,-91.2262806,US,United States,MO,Missouri,MO179,Reynolds,116A,Ozark Highland,MO179,"Reynolds County, Missouri",NASIS updated 5/4/2020 8:41:09 AM,7/25/2019 13:05,l,1.7,4B1a1,1.6,4B1a1,0.2,4B1a1,,,,,0.1,6A2d,4.4,8C1e,5.2,8C1a,,,,,,,37,,,l,3A1a1a,22.4,46.4,31.2,,,
40A38495,36416,S,4849,4849,40A5108,1,531595,8,28,8,28,E,100578,S1953FL033021,TROUP,series,,100595,S1953FL033021,8/27/1953 0:00,30.5730038,-87.3600082,US,United States,FL,Florida,FL033,Escambia,,,FL033,"Escambia County, Florida",NASIS updated 5/4/2020 8:05:52 AM,4/23/2016 6:15,ls,0.3,6N2d,0.2,6O2b,0.02,6Q2a,,,,,0.27,6A1a,,,5.6,8C1a,,,,,,,,,,ls,3A1a1a,8.2,11,80.8,0,,
FL0200803,15820346,S,51582,50856,S02_008,5460,,43,79,43,79,Bw2,517103,1988-FL003-S02_008,Wadley,,"Grossarenic Paleudults, loamy, siliceous, thermic.",528397,S1988-FL003-S02_008,4/15/2011 0:00,30.3494034,-82.1284561,US,United States,FL,Florida,FL003,Baker,153A,Atlantic Coast Flatwoods,FL003,"Baker County, Florida",NASIS updated 5/4/2020 8:44:25 AM,4/24/2016 14:26,FS,0.33,6N2,0.08,6O2,0.01,6Q2,,,,,0.11,6A1a,5,8C1e,5.8,8C1a,,,,,,,,,,FS,3A1a1a,2.8,5,,,,
MU053771,15807732,S,49571,48857,M9515315,5429,,23,41,23,41,A2,86912,1994MO153042H,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",87150,1994MO153042H,12/7/1994 0:00,36.5305556,-92.5304417,US,United States,MO,Missouri,MO153,Ozark,116A,Ozark Highland,MO153,"Ozark County, Missouri",NASIS updated 5/4/2020 8:40:36 AM,7/25/2019 13:05,l,21.4,4B1a1,11.6,4B1a1,0.2,4B1a1,,,,,3.6,6A2d,7.2,8C1e,7.6,8C1a,,,,,,,100,,,l,3A1a1a,21.6,30.7,47.7,,,
FL2100203,15819799,S,51487,50761,S21_002,5460,,66,102,66,100,Bw2,517482,1986-FL041-S21_002,Blanton,,"Grossarenic Paleudults, loamy, siliceous, semiactive, thermic",528718,S1986-FL041-S21_002,4/15/2011 0:00,29.7293167,-82.9111023,US,United States,FL,Florida,FL041,Gilchrist,138,North-Central Florida Ridge,FL041,"Gilchrist County, Florida",NASIS updated 5/4/2020 8:45:24 AM,4/23/2016 6:15,S,0.05,6N2,0.02,6O2,0,6Q2,,,,,0.12,6A1a,5.2,8C1e,5.3,8C1a,,,,,,,,,,S,3A1a1a,1.1,3.3,,,,
14N03387,15925110,S,70992,69020,14N0531,5839,S2013AL005001-1,0,18,0,18,A,943023,S2013AL005001,Troup,series,"Loamy, kaolinitic, thermic Grossarenic Kandiudults",585658,S2013AL005001,10/24/2012 0:00,32.1183583,-85.3799778,US,United States,AL,Alabama,AL005,Barbour,133A,Southern Coastal Plain,AL005,"Barbour County, Alabama",NASIS updated 5/4/2020 7:58:25 AM,4/25/2016 1:35,fs,0.16,4B1a1a,0,4B1a1a,0.02,4B1a1a,0.54,4H2a,0.017,4H2a,,,4.3,4C1a2a,5.1,4C1a2a,,,,,31.1,4D6a1,15,0.5,31,fs,3A1a1a,1.7,6.4,91.9,0,1.51,DbWR1
81P03301,59876,S,8670,8670,81P0559,624,,8,13,8,13,E,1115197,S1981MS039001,Susquehanna,series,"Fine, smectitic, thermic Vertic Paleudalfs",118858,S1981MS039001,7/1/1981 0:00,30.9424992,-88.6844406,US,United States,MS,Mississippi,MS039,George,133A,Southern Coastal Plain,MS039,"George County, Mississippi",NASIS updated 5/4/2020 8:13:33 AM,5/3/2018 15:43,sil,0.77,6N2e,0.52,6O2d,0.07,6Q2b,,,0.037,6B3a,0.76,6A1c,4.3,4C1a2a,4.8,4C1a2a,,,,,,,26,,20,sil,3A1a1a,6.2,50.6,43.2,1,1.36,4A1h
MU001491,15749777,S,40953,40239,M9461359,5397,,99,114,99,100,2Bt8,1367912,1994MO203059M,Clarksville,series,"Loamy-skeletal, siliceous, active, mesic Typic Paleudults",687146,1994MO203059M,8/1/1994 0:00,37.1725639,-91.1387333,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO613,"Shannon County, Missouri, North & West Parts",NASIS updated 5/4/2020 8:40:14 AM,10/18/2019 14:35,L,0,6N2,0.8,6O2,0.2,6Q2,,,,,0.1,6A2d,4.2,8C1e,5,8C1a,,,,,,,15,,,L,3A1a1a,24.3,40.5,35.3,,,
40A37785,35706,S,4740,4740,40A4999,1,7729,51,76,51,76,C1,105886,S1955TN077003,Lexington,series,,105903,S1955TN077003,4/5/1955 0:00,35.7122231,-88.3808365,US,United States,TN,Tennessee,TN077,Henderson,,,TN077,"Henderson County, Tennessee",NASIS updated 5/4/2020 8:05:47 AM,5/14/2019 17:25,sil,3.2,6N2b,2.2,6O2b,0.3,6Q2a,,,,,0.09,6A1a,,,5,8C1a,,,,,,,66,,,sil,3A1a1a,23.6,60.1,16.3,0,,
UAR0005923,15863184,S,58713,57911,69SB10,5568,69SB10,64,86,64,86,Btx1,814824,1969AR13110,Leadvale,series,"Fine-silty, siliceous, semiactive, thermic Typic Fragiudults",831912,1969AR13110,6/1/1969 0:00,35.2739,-94.3061,US,United States,AR,Arkansas,AR131,Sebastian,118A,"Arkansas Valley and Ridges, Eastern Part",AR131,"Sebastian County, Arkansas",NASIS updated 5/4/2020 8:08:39 AM,7/3/2018 13:42,sil,1.5,6N2,2,6O2f,0.1,6Q2a,,,,,0.3,6A1a,,,5.8,8C1a,2,6S3,,,,,,,,sil,hyd1,18.9,55.6,25.5,,,
MU032302,15780764,S,45520,44806,M8721301,5429,,0,13,0,13,A,473346,1987MO213001,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",477280,1987MO213001,1/25/2011 0:00,36.5507,-93.2478,US,United States,MO,Missouri,MO213,Taney,116A,Ozark Highland,,,NASIS updated 5/4/2020 8:36:36 AM,8/9/2019 11:20,sil,1,4B1a1,0.4,4B1a1,0.2,4B1a1,,,,,2.6,6A2d,3.8,8C1e,4.6,8C1a,,,,,,,,,,sil,3A1a1a,9.1,79.1,11.8,,,
40A34046,32069,S,4206,4206,40A4451,1,K0217,33,84,33,84,Bt1,128166,54TX067090,Woden,series,"Coarse-loamy, siliceous, semiactive, thermic Typic Paleudalf",126422,S1954TX067090,3/1/1954 0:00,33.1238899,-94.1341629,US,United States,TX,Texas,TX067,Cass,133B,Western Coastal Plain,TX616,"Marion and Cass Counties, Texas",NASIS updated 5/4/2020 8:05:17 AM,4/22/2016 22:33,,3.4,6N2e,1,6O2b,0.3,6Q2c,,,,,0.17,6A1a,,,5.3,8C1a,,,,,,,,,,,3A1a1a,18,25.5,56.5,0,,
MU017953,15765992,S,43283,42569,M9611930,5397,,64,173,64,100,2Bt4,94540,1996MO119068,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",94600,1996MO119068,4/11/1996 0:00,36.7336167,-94.1275861,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:00 AM,7/25/2019 13:05,C,4,6N2,3.1,6O2,0.4,6Q2,,,,,0.2,6A2d,,,5,8C1a,,,,,,,42,,,C,3A1a1a,69.3,17.4,13.3,,,
86P04541,86187,S,13421,13421,86P0749,1464,,80,121,80,100,Cg1,123592,86NC087004,Hemphill,taxadjunct,"Fine, mixed, active, mesic Typic Argiaquolls",121848,S1986NC087004,7/1/1986 0:00,35.4455566,-82.898056,US,United States,NC,North Carolina,NC087,Haywood,130,Blue Ridge,NC087,"Haywood County, North Carolina",NASIS updated 5/4/2020 8:19:04 AM,1/16/2019 19:32,fsl,3.74,6N2e,1.37,6O2d,0.02,6Q2b,,,,,1.57,6A1c,4.7,4C1a2a,5.3,4C1a2a,,,,,,,68,,,fsl,3A1a1a,10.3,22,67.7,0,1.4,4A1h
MU053306,15798317,S,48130,47416,M9511909,5429,,28,43,28,43,BE,94269,1995MO119009,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",94329,1995MO119009,8/24/1995 0:00,36.6373333,-94.0751194,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:40:30 AM,7/25/2019 13:05,sil,0.5,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,0.2,6A2d,,,4.9,8C1a,,,,,,,18,,,sil,3A1a1a,18.1,73.9,8,,,
FL0700603,15820409,S,51592,50866,S07_006,5460,,64,109,64,100,Btv1,517201,1988-FL013-S07_006,Leefield,,"Arenic Plinthaquic Paleudults, loamy, siliceous, subactive, thermic.",528495,S1988-FL013-S07_006,4/15/2011 0:00,30.5055618,-85.1194382,US,United States,FL,Florida,FL013,Calhoun,133A,Southern Coastal Plain,FL013,"Calhoun County, Florida",NASIS updated 5/4/2020 8:44:40 AM,4/23/2016 6:15,SL,0.62,6N2,0.3,6O2,0.07,6Q2,,,,,0.04,6A1a,4.6,8C1e,5.1,8C1a,,,,,,,,,,SL,3A1a1a,15.6,10,,,,
MU039588,15800598,S,48512,47798,M9020905,5429,,20,36,20,36,BE,92530,1990MO209005,Nixa,series,"Loamy-skeletal, siliceous, active, mesic Glossic Fragiudults",92590,1990MO209005,8/5/1990 0:00,36.8888889,-93.6352778,US,United States,MO,Missouri,MO209,Stone,116B,Springfield Plain,MO209,"Stone County, Missouri",NASIS updated 5/4/2020 8:37:53 AM,7/25/2019 13:05,sil,5.6,4B1a1,0.8,4B1a1,0.1,4B1a1,,,,,0.5,6A2d,,,7.1,8C1a,,,,,,,92,,,sil,3A1a1a,11.7,67.8,20.5,,,
00P01704,159257,S,24917,24917,00P0234,3465,,67,94,67,94,Bt2,192394,1999NC173003,Clifton,taxadjunct,"Fine-loamy, mixed, semiactive, mesic Typic Paleudults",108621,S1999NC173003,10/18/1999 0:00,35.53068,-83.30795,US,United States,NC,North Carolina,NC173,Swain,130B,Southern Blue Ridge,TN640,"Great Smoky Mountains National Park, Tennessee and North Carolina",NASIS updated 5/4/2020 7:36:04 AM,1/17/2019 20:25,cl,0.31,6N2i,0.49,6O2h,0.46,6Q2f,0.19,6A2e,0.062,6B4a,,,5.6,4C1a2a,5.3,4C1a2a,,,,,,,12,0.2,,cl,3A1a1a,36.4,31.3,32.3,27,1.4,4A1h
40A31464,29799,S,3912,3912,40A4118,1,45635,0,17,0,17,Ap,102389,S1945LA061002,CAHABA,taxadjunct,"Fine-loamy, siliceous, thermic Typic Hapludults",102406,S1945LA061002,6/22/1945 0:00,32.5319443,-92.4983368,US,United States,LA,Louisiana,LA061,Lincoln,133B,Western Coastal Plain,LA061,"Lincoln Parish, Louisiana",NASIS updated 5/4/2020 8:05:01 AM,4/22/2016 22:33,vfsl,3.6,6N2b,0.9,6O2b,0.4,6Q2b,,,,,,,,,6.3,8C1a,,,,,,,,,,vfsl,3A1a1a,7.7,38.4,53.9,0,,
91P01362,110633,S,17650,17650,91P0221,2228,,0,20,0,20,A,127085,90NC199001,Cashiers,series,"Coarse-loamy, micaceous Umbric Dystrochrepts",125341,S1990NC199001,11/1/1990 0:00,36.0511093,-82.3666687,US,United States,NC,North Carolina,NC199,Yancey,130,Blue Ridge,,,NASIS updated 5/4/2020 8:23:28 AM,1/16/2019 19:32,fsl,0.74,6N2e,0.31,6O2d,0.28,6Q2b,,,0.308,6B3a,6.72,6A1c,4.5,4C1a2a,4.5,4C1a2a,,,,,,,6,,,fsl,3A1a1a,19.8,25.6,54.6,8,,
93P04108,128308,S,20288,20288,93P0561,2679,,0,15,0,15,A,958653,93IL163000,Urban Land,miscellaneous area,,976947,93IL163000,6/1/1993 0:00,,,US,United States,IL,Illinois,IL163,St. Clair,,,,,NASIS updated 5/4/2020 8:26:02 AM,6/12/2014 16:16,sl,43.81,6N2e,1.96,6O2d,0.5,6Q2b,,,,,2.05,6A1c,7.2,4C1a2a,7.4,4C1a2a,,,,,,,100,,,sl,3A1a1a,8.5,32.6,58.9,19,,
FL0200103,15817289,S,51092,50366,S02_001,5460,,43,58,43,58,Bh1,902708,S1980-FL003-S02_001,Leon,series,"Sandy, siliceous, thermic Aeric Alaquods",528390,S1980-FL003-S02_001,9/11/1980 0:00,30.2547703,-82.0819855,US,United States,FL,Florida,FL003,Baker,153A,Atlantic Coast Flatwoods,FL003,"Baker County, Florida",NASIS updated 5/4/2020 8:44:24 AM,9/20/2019 14:49,s,0.12,6N2,0.02,6O2,0,6Q2,,,,,5.01,6A1a,3.9,8C1e,3.5,8C1a,,,,,,,,,,s,3A1a1a,5,6.6,,,,
00P03055,160608,S,25169,25169,00P0487,3498,,15,30,15,30,A,108658,99MS151006,Sharkey,series,,108644,S1999MS151006,10/30/1999 0:00,33.3287773,-91.0160522,US,United States,MS,Mississippi,MS151,Washington,,,MS151,"Washington County, Mississippi",NASIS updated 5/4/2020 7:36:27 AM,4/23/2016 6:08,c,,,,,,,0.82,6A2e,0.117,6B4a,,,5.7,4C1a2a,5.9,4C1a2a,,,,,,,,0.8,,c,3A1a1a,73.3,25.1,1.6,0,,
91P01405,110676,N,17656,17656,91P0227,2229,,85,140,85,100,,958377,88LA019001,Beauregard,series,"Fine-silty, siliceous, thermic Plinthaquic Paleudult",976671,88LA019001,6/1/1991 0:00,30.5533333,-93.2636111,US,United States,LA,Louisiana,LA019,Calcasieu,152B,Western Gulf Coast Flatwoods,LA011,"Beauregard Parish, Louisiana",NASIS updated 5/4/2020 8:23:28 AM,6/12/2014 16:16,l,,,,,,,,,,,,,,,,,,,,,,,,,,l,3A1a1a,14.6,44,41.4,,,
MU020777,15768808,S,43700,42986,M9861334,5397,,51,71,51,71,2Bt3,1367484,1998MO203034M,Portia,series,"Fine-loamy, siliceous, semiactive, mesic Typic Paleudults",97319,1998MO203034M,3/26/1998 0:00,37.1086333,-91.3168111,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:42:17 AM,10/18/2019 14:35,CL,3.4,6N2,2,6O2,0.5,6Q2,,,,,0.1,6A2d,4.3,8C1e,4.9,8C1a,,,,,,,54,,,CL,3A1a1a,29.4,49.1,21.5,,,
FL1600904,15814608,S,50709,49983,S16_009,5460,,46,66,46,66,Bh1,904316,S1975-FL031-S16_009,Leon,series,"Sandy, siliceous, thermic Aeric Alaquods",528659,S1975-FL031-S16_009,4/15/2011 0:00,30.4957619,-81.6261749,US,United States,FL,Florida,FL031,Duval,153B,Tidewater Area,FL031,"Duval County, Florida",NASIS updated 5/4/2020 8:45:15 AM,9/20/2019 14:49,FS,0.01,6N2,0.03,6O2,0.02,6Q2,,,,,1.47,6A1a,3.4,8C1e,4,8C1a,,,,,,,,,,FS,3A1a1a,3.5,3.2,,,,
MU020110,15768141,S,43607,42893,M9415309,5397,,0,10,0,10,A,86902,1994MO153039,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Oxyaquic Paleudults",87140,1994MO153039,2/16/1994 0:00,36.7066667,-92.4433333,US,United States,MO,Missouri,MO153,Ozark,116A,Ozark Highland,MO153,"Ozark County, Missouri",NASIS updated 5/4/2020 8:40:02 AM,7/25/2019 13:05,SIL,1.6,6N2,0.4,6O2,0.2,6Q2,,,,,2,6A2d,4.8,8C1e,5.4,8C1a,,,,,,,30,,,SIL,3A1a1a,9,70.2,20.7,,,
